"plan","query","region","readout","planted","estimate","se","bias","bias_t","bias_p","t_vs_zero","p_vs_zero","ci_low","ci_high"
"same","level_control_all","regionC","mean control coupling (all eligible)",0.001261,0.023463,0.002785,0.022202,7.970625,7e-06,8.423272,4e-06,0.017332,0.029593
"same","level_control_category","regionA","mean control coupling (category-matched)",0.354743,0.372213,0.005103,0.01747,3.423469,0.005688,72.940066,0,0.360982,0.383445
"same","level_control_category","regionB","mean control coupling (category-matched)",1.437732,1.457572,0.006315,0.01984,3.141735,0.009379,230.80948,0,1.443673,1.471472
"same","level_control_category","regionC","mean control coupling (category-matched)",0.002589,0.024625,0.003179,0.022036,6.930767,2.5e-05,7.745211,9e-06,0.017627,0.031623
"same","level_match","regionA","mean match coupling",1.124938,1.146858,0.006324,0.021919,3.46601,0.005277,181.347354,0,1.132939,1.160777
"same","level_match","regionB","mean match coupling",1.693213,1.708238,0.009947,0.015025,1.510568,0.159079,171.741846,0,1.686345,1.73013
"same","level_match","regionC","mean match coupling",0.253704,0.280658,0.003426,0.026954,7.866451,8e-06,81.910267,0,0.273116,0.288199
"same","lm_match","regionA","match coefficient adjusting for same_category",0.775941,0.78224,0.0044,0.006298,1.431315,0.180132,177.763087,0,0.772554,0.791925
"same","lm_match","regionB","match coefficient adjusting for same_category",0.254021,0.250483,0.007425,-0.003537,-0.476418,0.643099,33.735602,0,0.234141,0.266825
"same","lm_match","regionC","match coefficient adjusting for same_category",0.251541,0.256488,0.003287,0.004948,1.505276,0.160416,78.036295,0,0.249254,0.263723
"same","lm_match_depth","regionA","study-duration slope on matched pairs",0.201777,0.199672,0.007327,-0.002105,-0.28727,0.779245,27.253032,0,0.183546,0.215798
"same","lm_match_depth","regionB","study-duration slope on matched pairs",0.047905,0.034768,0.008192,-0.013137,-1.603619,0.137101,4.244086,0.001379,0.016737,0.052799
"same","lm_match_depth","regionC","study-duration slope on matched pairs",-0.02333,-0.018944,0.01165,0.004386,0.376482,0.713719,-1.626149,0.132198,-0.044585,0.006697
"same","match_control_all","regionA","match coefficient, item nuisance adjusted",1.047323,1.053593,0.004604,0.00627,1.361913,0.200464,228.84709,0,1.04346,1.063726
"same","match_control_all","regionB","match coefficient, item nuisance adjusted",1.295786,1.298773,0.008097,0.002987,0.368875,0.719222,160.399672,0,1.280951,1.316594
"same","match_control_all","regionC","match coefficient, item nuisance adjusted",0.252873,0.25765,0.003487,0.004777,1.370105,0.197969,73.893453,0,0.249976,0.265324
"same","match_control_category","regionA","match coefficient, category-matched, encoding nuisance",0.759783,0.763864,0.005282,0.00408,0.772529,0.45608,144.618869,0,0.752238,0.775489
"same","match_control_category","regionB","match coefficient, category-matched, encoding nuisance",0.25776,0.254247,0.005876,-0.003513,-0.597891,0.56202,43.269051,0,0.241314,0.26718
"same","match_control_category","regionC","match coefficient, category-matched, encoding nuisance",0.252153,0.257595,0.0037,0.005442,1.470941,0.169326,69.627433,0,0.249452,0.265738
