"plan","query","region","subject","estimate","planted","readout"
"cross","contrast_category","regionC","sub-04",0.0260382853055906,0.00862808472829917,"match - control, category-matched pairs"
"cross","contrast_category","regionC","sub-05",0.0160264904888743,0.00862808472829917,"match - control, category-matched pairs"
"cross","contrast_category","regionC","sub-06",0.0181748794735573,0.00862808472829917,"match - control, category-matched pairs"
"cross","contrast_category","regionC","sub-07",-0.0253753246644559,0.00862808472829917,"match - control, category-matched pairs"
"cross","contrast_category","regionC","sub-08",-0.00486082467987277,0.00862808472829917,"match - control, category-matched pairs"
"cross","contrast_category","regionC","sub-09",-0.0172694245160431,0.00862808472829917,"match - control, category-matched pairs"
"cross","contrast_category","regionC","sub-10",0.0186615544196545,0.00862808472829917,"match - control, category-matched pairs"
"cross","contrast_category","regionC","sub-11",0.00189588893751109,0.00862808472829917,"match - control, category-matched pairs"
"cross","contrast_category","regionC","sub-12",0.0216669754383379,0.00862808472829917,"match - control, category-matched pairs"
"cross","level_baseline","regionA","sub-01",0.12071660523208,0.105309136879866,"mean coupling over every eligible pair"
"cross","level_baseline","regionA","sub-02",0.113661596632404,0.105309136879866,"mean coupling over every eligible pair"
"cross","level_baseline","regionA","sub-03",0.140367570179176,0.105309136879866,"mean coupling over every eligible pair"
"cross","level_baseline","regionA","sub-04",0.109690737858024,0.105309136879866,"mean coupling over every eligible pair"
"cross","level_baseline","regionA","sub-05",0.0903998075787536,0.105309136879866,"mean coupling over every eligible pair"
"cross","level_baseline","regionA","sub-06",0.120717490224665,0.105309136879866,"mean coupling over every eligible pair"
"cross","level_baseline","regionA","sub-07",0.0992093466958616,0.105309136879866,"mean coupling over every eligible pair"
"cross","level_baseline","regionA","sub-08",0.086031169376746,0.105309136879866,"mean coupling over every eligible pair"
"cross","level_baseline","regionA","sub-09",0.100778118940406,0.105309136879866,"mean coupling over every eligible pair"
"cross","level_baseline","regionA","sub-10",0.100858933322037,0.105309136879866,"mean coupling over every eligible pair"
"cross","level_baseline","regionA","sub-11",0.0942078694068583,0.105309136879866,"mean coupling over every eligible pair"
"cross","level_baseline","regionA","sub-12",0.103508546622068,0.105309136879866,"mean coupling over every eligible pair"
"cross","level_baseline","regionB","sub-01",0.387969894871451,0.436918212173344,"mean coupling over every eligible pair"
"cross","level_baseline","regionB","sub-02",0.400588930125627,0.436918212173344,"mean coupling over every eligible pair"
"cross","level_baseline","regionB","sub-03",0.456675932641238,0.436918212173344,"mean coupling over every eligible pair"
"cross","level_baseline","regionB","sub-04",0.443175388496587,0.436918212173344,"mean coupling over every eligible pair"
"cross","level_baseline","regionB","sub-05",0.470130466026397,0.436918212173344,"mean coupling over every eligible pair"
"cross","level_baseline","regionB","sub-06",0.446468409815554,0.436918212173344,"mean coupling over every eligible pair"
"cross","level_baseline","regionB","sub-07",0.434599458578073,0.436918212173344,"mean coupling over every eligible pair"
"cross","level_baseline","regionB","sub-08",0.470193521188915,0.436918212173344,"mean coupling over every eligible pair"
"cross","level_baseline","regionB","sub-09",0.40904276492741,0.436918212173344,"mean coupling over every eligible pair"
"cross","level_baseline","regionB","sub-10",0.475346572410079,0.436918212173344,"mean coupling over every eligible pair"
"cross","level_baseline","regionB","sub-11",0.442065067088524,0.436918212173344,"mean coupling over every eligible pair"
"cross","level_baseline","regionB","sub-12",0.39878914815852,0.436918212173344,"mean coupling over every eligible pair"
"cross","level_baseline","regionC","sub-01",0.0204570172521301,-0.000608388705231452,"mean coupling over every eligible pair"
