"claim","statistic","criterion","passed","detail"
"regionA carries item-specific reinstatement","coupling_contrast, category-matched controls","t > 0, p < 0.001",TRUE,"0.5272 (planted 0.5277, se 0.0085, t = 62.08)"
"regionB carries category structure but no item reinstatement","coupling_contrast, category-matched controls","95% CI contains 0",TRUE,"-0.0072 (planted -0.0024, se 0.0067, t = -1.07)"
"regionC carries nothing","coupling_contrast, category-matched controls","95% CI contains 0",TRUE,"0.0062 (planted 0.0086, se 0.0050, t = 1.24)"
"an unrestricted control set reports reinstatement in regionB","coupling_contrast, all eligible controls","t > 0, p < 0.001",TRUE,"1.0281 (planted 1.0228, se 0.0099, t = 104.36)"
"same-run pairing invents reinstatement in the null region","coupling_contrast under the same-run plan","t > 0, p < 0.001",TRUE,"0.2560 (planted 0.2511, se 0.0038, t = 67.12) vs cross-run 0.0062 (planted 0.0086, se 0.0050, t = 1.24)"
"the encoding study-duration covariate is recovered in regionA","pair_lm_query match_depth coefficient","t > 0, p < 0.001",TRUE,"0.2206 (planted 0.2154, se 0.0059, t = 37.25)"
"the regression and contrast routes agree in regionA","pair_lm_query match vs match_control vs coupling_contrast","spread < 0.05",TRUE,"pair_lm_query 0.5329, match_control 0.5166, coupling_contrast 0.5272"
"every cross-run readout recovers its planted value","planted value vs 95% subject CI","all 30 readouts covered",TRUE,"30 of 30 covered; largest |bias| = 0.0093"
