relpath,role,tier,source,bytes,md5,sha256,url,s3_uri
derivatives/fmriprep/sub-105/func/sub-105_task-trust_run-5_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,mask-mni,core,fmriprep,3792,9ddd20f3e27c491ac442d8cd9939c30f,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-105:func:sub-105_task-trust_run-5_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-105/func/sub-105_task-trust_run-5_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz
derivatives/fmriprep/sub-105/func/sub-105_task-trust_run-5_desc-confounds_timeseries.tsv,confounds,core,fmriprep,655902,0bb6bab1038cf97bf7b83d257bcb238e,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-105:func:sub-105_task-trust_run-5_desc-confounds_timeseries.tsv,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-105/func/sub-105_task-trust_run-5_desc-confounds_timeseries.tsv
sub-105/func/sub-105_task-trust_run-05_events.tsv,events,core,raw,3541,ef6699bd6b7d8eb01c726fe412343231,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/sub-105:func:sub-105_task-trust_run-05_events.tsv,s3://openneuro.org/ds003745/sub-105/func/sub-105_task-trust_run-05_events.tsv
derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,bold-mni,transport,fmriprep,76617083,b2b7bf9cb8a292a595043c47ad5ec23c,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-105:func:sub-105_task-sharedreward_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,mask-mni,transport,fmriprep,3744,d9aae54dfd9955376c36c74df9f59275,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-105:func:sub-105_task-sharedreward_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz
derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-1_desc-confounds_timeseries.tsv,confounds,transport,fmriprep,614102,afb29298bfc022853a76b1c35452e1a7,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-105:func:sub-105_task-sharedreward_run-1_desc-confounds_timeseries.tsv,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-1_desc-confounds_timeseries.tsv
sub-105/func/sub-105_task-sharedreward_run-01_events.tsv,events,transport,raw,4083,7a7f6e2091da2c968d0795c710e33a61,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/sub-105:func:sub-105_task-sharedreward_run-01_events.tsv,s3://openneuro.org/ds003745/sub-105/func/sub-105_task-sharedreward_run-01_events.tsv
derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,bold-mni,transport,fmriprep,76755043,f4d2bbd4b3533a8152728b776fce802d,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-105:func:sub-105_task-sharedreward_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz
derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-2_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,mask-mni,transport,fmriprep,3832,a2d8532e5ccf06f83b88cc308bd6c2b6,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-105:func:sub-105_task-sharedreward_run-2_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-2_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz
derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-2_desc-confounds_timeseries.tsv,confounds,transport,fmriprep,564123,800d29766217bb4a71c3309ac342aada,,https://openneuro.org/crn/datasets/ds003745/snapshots/2.1.1/files/derivatives:fmriprep:sub-105:func:sub-105_task-sharedreward_run-2_desc-confounds_timeseries.tsv,s3://openneuro.org/ds003745/derivatives/fmriprep/sub-105/func/sub-105_task-sharedreward_run-2_desc-confounds_timeseries.tsv
