"component","node","query","estimate","evidence_state","real_data_claim"
"coherent","group38","primary",0.203321412455711,"synthetic_rehearsal",FALSE
"coherent","group39","primary",0.149891998645425,"synthetic_rehearsal",FALSE
"coherent","group40","primary",0.175174198910543,"synthetic_rehearsal",FALSE
"coherent","group41","primary",0.175174198910543,"synthetic_rehearsal",FALSE
"coherent","group42","primary",0.175174198910543,"synthetic_rehearsal",FALSE
"coherent","group43","primary",0.175174198910543,"synthetic_rehearsal",FALSE
"coherent","group44","primary",0.175174198910543,"synthetic_rehearsal",FALSE
"coherent","group45","primary",0.175174198910543,"synthetic_rehearsal",FALSE
"coherent","group46","primary",0.175174198910543,"synthetic_rehearsal",FALSE
"coherent","group47","primary",0.175174198910543,"synthetic_rehearsal",FALSE
"coherent","group48","primary",0.175174198910543,"synthetic_rehearsal",FALSE
"coherent","group49","primary",0.175174198910543,"synthetic_rehearsal",FALSE
"coherent","group50","primary",0.175174198910543,"synthetic_rehearsal",FALSE
"coherent","group51","primary",0.175174198910543,"synthetic_rehearsal",FALSE
"coherent","group52","primary",0.175174198910543,"synthetic_rehearsal",FALSE
"coherent","<sink>","primary",0,"synthetic_rehearsal",FALSE
"configuration","group1","primary",0,"synthetic_rehearsal",FALSE
"configuration","group2","primary",0,"synthetic_rehearsal",FALSE
"configuration","group3","primary",0,"synthetic_rehearsal",FALSE
"configuration","group4","primary",0,"synthetic_rehearsal",FALSE
"configuration","group5","primary",0,"synthetic_rehearsal",FALSE
"configuration","group6","primary",0,"synthetic_rehearsal",FALSE
"configuration","group7","primary",0,"synthetic_rehearsal",FALSE
"configuration","group8","primary",0,"synthetic_rehearsal",FALSE
"configuration","group9","primary",0,"synthetic_rehearsal",FALSE
"configuration","group10","primary",0,"synthetic_rehearsal",FALSE
"configuration","group11","primary",0,"synthetic_rehearsal",FALSE
"configuration","group12","primary",0,"synthetic_rehearsal",FALSE
"configuration","group13","primary",0,"synthetic_rehearsal",FALSE
"configuration","group14","primary",0.164281730371364,"synthetic_rehearsal",FALSE
"configuration","group15","primary",0.255986269617284,"synthetic_rehearsal",FALSE
"configuration","group16","primary",0.256043770576296,"synthetic_rehearsal",FALSE
"configuration","group17","primary",0.327168092329836,"synthetic_rehearsal",FALSE
"configuration","group18","primary",0.332312477101553,"synthetic_rehearsal",FALSE
"configuration","group19","primary",0.214567682456352,"synthetic_rehearsal",FALSE
"configuration","group20","primary",0.275759654057308,"synthetic_rehearsal",FALSE
"configuration","group21","primary",0.214567682456352,"synthetic_rehearsal",FALSE
"configuration","group22","primary",0.332312477101553,"synthetic_rehearsal",FALSE
"configuration","group23","primary",0.327168092329836,"synthetic_rehearsal",FALSE
"configuration","group24","primary",0.256043770576296,"synthetic_rehearsal",FALSE
"configuration","group25","primary",0.255986269617284,"synthetic_rehearsal",FALSE
"configuration","group26","primary",0.164281730371364,"synthetic_rehearsal",FALSE
"configuration","group27","primary",0.210875839399907,"synthetic_rehearsal",FALSE
"configuration","group28","primary",0.22823115023415,"synthetic_rehearsal",FALSE
"configuration","group29","primary",0.256892073120846,"synthetic_rehearsal",FALSE
