measurement,pair,left,right,rsatoolbox,allpairs_oracle
whole_brain,1,cond1_faceA,cond2_faceB,0.0034466355427653903,0.0034466355427654506
whole_brain,2,cond1_faceA,cond3_houseA,0.2650291694452356,0.26502916944523575
whole_brain,3,cond1_faceA,cond4_houseB,0.21749781364542625,0.2174978136454263
whole_brain,4,cond1_faceA,cond5_toolA,0.3647336582261799,0.36473365822618004
whole_brain,5,cond1_faceA,cond6_toolB,0.3348882066191943,0.33488820661919444
whole_brain,6,cond2_faceB,cond3_houseA,0.19895641888545285,0.19895641888545287
whole_brain,7,cond2_faceB,cond4_houseB,0.14656700651372395,0.14656700651372398
whole_brain,8,cond2_faceB,cond5_toolA,0.2572003480662788,0.2572003480662788
whole_brain,9,cond2_faceB,cond6_toolB,0.22637733464421822,0.2263773346442183
whole_brain,10,cond3_houseA,cond4_houseB,-0.004421321142507299,-0.004421321142507244
whole_brain,11,cond3_houseA,cond5_toolA,0.07579688367628695,0.07579688367628697
whole_brain,12,cond3_houseA,cond6_toolB,0.09269785557238025,0.09269785557238026
whole_brain,13,cond4_houseB,cond5_toolA,0.18060281680054052,0.1806028168005406
whole_brain,14,cond4_houseB,cond6_toolB,0.16195621250045766,0.16195621250045775
whole_brain,15,cond5_toolA,cond6_toolB,0.03234080985958178,0.032340809859581716
roiA,1,cond1_faceA,cond2_faceB,0.04419333743984119,0.044193337439841184
roiA,2,cond1_faceA,cond3_houseA,0.7757729882938172,0.7757729882938175
roiA,3,cond1_faceA,cond4_houseB,0.561224074227419,0.5612240742274189
roiA,4,cond1_faceA,cond5_toolA,1.2797839250636092,1.279783925063609
roiA,5,cond1_faceA,cond6_toolB,1.2838364708118462,1.2838364708118462
roiA,6,cond2_faceB,cond3_houseA,0.4388851199681208,0.43888511996812113
roiA,7,cond2_faceB,cond4_houseB,0.3361638843474003,0.33616388434740047
roiA,8,cond2_faceB,cond5_toolA,0.70758696839889,0.7075869683988901
roiA,9,cond2_faceB,cond6_toolB,0.6892361063455099,0.68923610634551
roiA,10,cond3_houseA,cond4_houseB,-0.04133082265637179,-0.04133082265637174
roiA,11,cond3_houseA,cond5_toolA,0.3952239838627304,0.3952239838627305
roiA,12,cond3_houseA,cond6_toolB,0.41618595739007574,0.4161859573900757
roiA,13,cond4_houseB,cond5_toolA,0.47019712053953355,0.4701971205395336
roiA,14,cond4_houseB,cond6_toolB,0.548611922365154,0.5486119223651541
roiA,15,cond5_toolA,cond6_toolB,0.008869888820380582,0.008869888820380638
roiB,1,cond1_faceA,cond2_faceB,0.08645021691348277,0.08645021691348276
roiB,2,cond1_faceA,cond3_houseA,-0.03267531678676043,-0.03267531678676038
roiB,3,cond1_faceA,cond4_houseB,0.04764507288302117,0.04764507288302119
roiB,4,cond1_faceA,cond5_toolA,0.21916089785591022,0.21916089785591053
roiB,5,cond1_faceA,cond6_toolB,0.28867896841696455,0.28867896841696455
roiB,6,cond2_faceB,cond3_houseA,0.03320228800799403,0.03320228800799418
roiB,7,cond2_faceB,cond4_houseB,-0.03334700220447006,-0.033347002204469935
roiB,8,cond2_faceB,cond5_toolA,0.19252183659396196,0.19252183659396227
roiB,9,cond2_faceB,cond6_toolB,0.16248258667655197,0.162482586676552
roiB,10,cond3_houseA,cond4_houseB,0.022454144092041994,0.02245414409204204
roiB,11,cond3_houseA,cond5_toolA,0.09026910907811503,0.09026910907811515
roiB,12,cond3_houseA,cond6_toolB,0.14485361726692692,0.14485361726692694
roiB,13,cond4_houseB,cond5_toolA,0.16554158714606998,0.16554158714606992
roiB,14,cond4_houseB,cond6_toolB,0.1021293593508286,0.10212935935082856
roiB,15,cond5_toolA,cond6_toolB,0.033464561314998593,0.03346456131499859
roiC,1,cond1_faceA,cond2_faceB,-0.017355159652137055,-0.017355159652137044
roiC,2,cond1_faceA,cond3_houseA,0.04237612440335227,0.04237612440335228
roiC,3,cond1_faceA,cond4_houseB,-0.020750339310777452,-0.020750339310777455
roiC,4,cond1_faceA,cond5_toolA,0.022812159274086717,0.022812159274086714
roiC,5,cond1_faceA,cond6_toolB,-0.029789412608705573,-0.029789412608705556
roiC,6,cond2_faceB,cond3_houseA,0.01583707256511796,0.015837072565118005
roiC,7,cond2_faceB,cond4_houseB,0.04744038596059915,0.04744038596059913
roiC,8,cond2_faceB,cond5_toolA,-0.009941083247900849,-0.009941083247900809
roiC,9,cond2_faceB,cond6_toolB,0.03103244399327601,0.03103244399327601
roiC,10,cond3_houseA,cond4_houseB,0.008760930702562033,0.008760930702562038
roiC,11,cond3_houseA,cond5_toolA,0.00018065925886322015,0.00018065925886322408
roiC,12,cond3_houseA,cond6_toolB,-0.002175439981460775,-0.0021754399814607472
roiC,13,cond4_houseB,cond5_toolA,0.11326904075304606,0.11326904075304606
roiC,14,cond4_houseB,cond6_toolB,0.0606925052812195,0.0606925052812195
roiC,15,cond5_toolA,cond6_toolB,0.008314896958048996,0.008314896958048983
