"arm","subjects","residual_df","replications","null_coverage","null_coverage_mcse","null_rejection","null_coverage_all_cells","signal_coverage","signal_coverage_all_cells","signal_power","t_mean","t_sd","t_reference_sd","ks_statistic","ks_p_value"
"gaussian",6,3,2000,0.9485,0.00494205169944629,0.0515,0.9526875,0.9565,0.95075,0.1415,0.0487511648258212,1.68878210358127,1.73205080756888,0.0209423245708655,0.344264691635802
"gaussian",8,5,2000,0.95,0.00487339717240448,0.05,0.9491875,0.9555,0.9501875,0.2125,-0.0160268069368512,1.26965561864368,1.29099444873581,0.0144794989919963,0.795808010325033
"gaussian",12,9,2000,0.952,0.00477995815881269,0.048,0.948125,0.948,0.948875,0.374,-0.0310240951806043,1.15072538832742,1.13389341902768,0.0150871141978394,0.752807200068403
"gaussian",24,21,2000,0.948,0.00496467521596328,0.052,0.95,0.951,0.951,0.7465,-0.0209539362499702,1.06250496757256,1.05131496607569,0.0201232679389787,0.392816790316756
"heteroskedastic",6,3,2000,0.923,0.00596116599332714,0.077,0.9306875,0.9255,0.930375,0.206,-0.0171296739426213,1.9173458836179,1.73205080756888,0.0407002358232403,0.00265081111141426
"heteroskedastic",8,5,2000,0.918,0.00613498166256428,0.082,0.9191875,0.928,0.9190625,0.303,0.00579567451338786,1.48810335976276,1.29099444873581,0.0370908254082668,0.0081497322505079
"heteroskedastic",12,9,2000,0.9095,0.00641520654383006,0.0905,0.9035,0.916,0.9089375,0.4695,0.0409917755531134,1.36003636836647,1.13389341902768,0.0502860625288285,8.09559678367698e-05
"heteroskedastic",24,21,2000,0.885,0.00713354750457302,0.115,0.8864375,0.876,0.8839375,0.746,0.00690885743045753,1.30796829909764,1.05131496607569,0.0598477670681263,1.19917862871376e-06
