"scenario","scenario_label","metric","scale","truth","estimate_mean","estimate_sd","interval_lower","interval_upper","n_valid","n_replications","noise_regime","trials_per_condition","snr","first_seed","last_seed"
"fine_configuration","Fine configuration","configuration",2.01,2.5955704601828,2.53084346661137,0.232985839991833,2.12949513931592,2.91805597958896,24,24,"gaussian",24,0.8,4301,4324
"fine_configuration","Fine configuration","configuration",4.01,2.68199496815506,2.61247729129524,0.242324693619902,2.18906231322207,3.00972849317852,24,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",1,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",2,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",3,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",4,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",5,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",6,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",7,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",8,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",9,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",10,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",11,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",12,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",13,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",14,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",15,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",16,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"broad_coherent","Broad coherent","ground_truth_pattern",17,0.8,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
"mixed_broad_fine","50/50 mixed","ground_truth_pattern",1,1.09901875828257,NA,NA,NA,NA,NA,24,"gaussian",24,0.8,4301,4324
