"scenario","scale","coverage_regime","component","term","replications","estimate_mean","conditional_truth_mean","marginal_truth_mean","marginal_bias","target_shift","empirical_se","mean_se","conditional_coverage","coverage_mcse","mean_n","mean_coverage_fraction","mean_transport_quality","marginal_claim_supported"
"broad_coherent",0.01,"failure_informative","coherent","(Intercept)",200,2.33394319535974,2.334507461424,2.17071211268041,0.163231082679326,0.163795348743586,0.169491231977281,0.298851388502213,1,0,13.33,0.555416666666667,0.73949015055415,FALSE
"broad_coherent",0.01,"failure_informative","coherent","covariate_x",200,0.0212350560405879,0.02048112425286,0.0972919499237615,-0.0760568938831736,-0.0768108256709015,0.302748639033283,0.329341108621493,1,0,13.33,0.555416666666667,0.73949015055415,FALSE
"broad_coherent",0.01,"failure_informative","configuration","(Intercept)",200,0.014875884649696,0.0156605924800127,0.015558797978809,-0.000682913329112956,0.000101794501203741,0.0240612001492086,0.0265246176439761,0.97,0.0120623380818148,13.33,0.555416666666667,0.73949015055415,FALSE
"broad_coherent",0.01,"failure_informative","configuration","covariate_x",200,0.00234861578989925,0.000844977249963414,0.000689402420170094,0.00165921336972915,0.00015557482979332,0.0259776971528239,0.031407080496546,0.965,0.012995191418367,13.33,0.555416666666667,0.73949015055415,FALSE
"broad_coherent",0.01,"failure_informative","total","(Intercept)",200,2.34881908000943,2.35016805390401,2.18627091065922,0.162548169350213,0.16389714324479,0.17084450180676,0.30380053674364,1,0,13.33,0.555416666666667,0.73949015055415,FALSE
"broad_coherent",0.01,"failure_informative","total","covariate_x",200,0.0235836718304872,0.0213261015028234,0.0979813523439316,-0.0743976805134444,-0.0766552508411082,0.304015331025383,0.332718281902487,1,0,13.33,0.555416666666667,0.73949015055415,FALSE
"broad_coherent",0.01,"supported_complete","coherent","(Intercept)",200,2.17129016325337,2.17071211268041,2.17071211268041,0.000578050572958801,0,0.0769576640315358,0.147518098604112,1,0,24,1,0.755509530964764,TRUE
"broad_coherent",0.01,"supported_complete","coherent","covariate_x",200,0.0969930087548942,0.0972919499237615,0.0972919499237615,-0.000298941168867281,0,0.136806044720878,0.140749362979764,1,0,24,1,0.755509530964764,TRUE
"broad_coherent",0.01,"supported_complete","configuration","(Intercept)",200,0.0160425887346569,0.015558797978809,0.015558797978809,0.000483790755847947,0,0.016958766644943,0.0175443469637384,0.98,0.00989949493661167,24,1,0.755509530964764,TRUE
"broad_coherent",0.01,"supported_complete","configuration","covariate_x",200,0.00273781070062267,0.000689402420170094,0.000689402420170094,0.00204840828045258,0,0.0170575805545825,0.0186310869598329,0.945,0.0161206389451535,24,1,0.755509530964764,TRUE
