"scenario","noise_regime","trials_per_condition","snr","regime_label","scale","metric","truth","estimate_mean","estimate_sd","interval_lower","interval_upper","n_valid","n_replications"
"broad_coherent","gaussian",6,0.2,"low_power",4.01,"coherent",0.17,0.186832996972713,0.109318559995059,0.00182776454466611,0.404818240441455,48,48
"broad_coherent","gaussian",6,0.2,"low_power",4.01,"configuration",5.6621374255883e-17,0.017925274253374,0.122382583427188,-0.155390614427483,0.206449848144059,48,48
"broad_coherent","gaussian",6,0.2,"low_power",4.01,"coherent_share",1,0.601852306385078,2.24744276291645,-4.54206107400321,3.71773189509259,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",0.01,"activation",0.8,0.808682827316666,0.0641951621039576,0.689771137387744,0.922040646622179,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",0.01,"aggregate",10.88,11.1961627621643,1.86432130565506,8.15350731864516,15.4382469710128,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",0.01,"total",2.72,2.79904069054108,0.466080326413766,2.03837682966129,3.8595617427532,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",0.01,"coherent",2.72,2.79904069054108,0.466080326413766,2.03837682966129,3.8595617427532,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",0.01,"configuration",0,0,0,0,0,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",0.01,"coherent_share",1,1,0,1,1,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",1.01,"activation",0.8,0.808682827316666,0.0641951621039576,0.689771137387744,0.922040646622179,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",1.01,"aggregate",10.88,11.1961627621643,1.86432130565506,8.15350731864516,15.4382469710128,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",1.01,"total",2.72,2.79904069054108,0.466080326413766,2.03837682966129,3.8595617427532,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",1.01,"coherent",2.72,2.78430018920955,0.431433226435954,2.10794078062915,3.64832981306167,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",1.01,"configuration",0,0.0147405013315303,0.0976175960150855,-0.131616492217284,0.183315460140445,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",1.01,"coherent_share",1,0.996851335192589,0.0336468741314337,0.937707707583944,1.05527199881517,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",2.01,"activation",0.8,0.808682827316666,0.0641951621039576,0.689771137387744,0.922040646622179,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",2.01,"aggregate",10.88,11.1961627621643,1.86432130565506,8.15350731864516,15.4382469710128,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",2.01,"total",2.72,2.79904069054108,0.466080326413766,2.03837682966129,3.85956174275321,48,48
"broad_coherent","gaussian",6,0.8,"recoverable",2.01,"coherent",2.72,2.77927352640678,0.426796008605653,2.09211650979814,3.5969280070665,48,48
