"dataset_id","scenario","transport_regime","coverage_regime","marginal_claim_supported","replication","method","n","estimate","reported_se","lower","upper","reject","quality_mean","coverage_fraction","failure"
"informative_coverage_cross_fitted-r0216-s873217","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,216,"HC3",9,0.168598110703734,0.791835361196212,-1.70379498764956,2.04099120905703,FALSE,0.689978590009912,0.375,FALSE
"informative_coverage_cross_fitted-r0216-s873217","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,216,"wild_bootstrap",9,0.168598110703734,0.791835361196212,-1.41452256895613,1.7517187903636,FALSE,0.689978590009912,0.375,FALSE
"informative_coverage_cross_fitted-r0217-s873218","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,217,"classical",12,-0.0280558366857641,0.336187037027631,-0.777127235421178,0.72101556204965,FALSE,0.745176831085143,0.5,FALSE
"informative_coverage_cross_fitted-r0217-s873218","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,217,"HC3",12,-0.0280558366857641,0.694271435777429,-1.57498899656575,1.51887732319422,FALSE,0.745176831085143,0.5,FALSE
"informative_coverage_cross_fitted-r0217-s873218","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,217,"wild_bootstrap",12,-0.0280558366857641,0.694271435777429,-2.15073860090082,2.09462692752929,FALSE,0.745176831085143,0.5,FALSE
"informative_coverage_cross_fitted-r0218-s873219","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,218,"classical",17,0.364675365691645,0.533856473267762,-0.773212771649071,1.50256350303236,FALSE,0.670189371719685,0.708333333333333,FALSE
"informative_coverage_cross_fitted-r0218-s873219","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,218,"HC3",17,0.364675365691645,0.365517777358188,-0.414407334752485,1.14375806613577,FALSE,0.670189371719685,0.708333333333333,FALSE
"informative_coverage_cross_fitted-r0218-s873219","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,218,"wild_bootstrap",17,0.364675365691645,0.365517777358188,-0.266645766757807,0.995996498141096,FALSE,0.670189371719685,0.708333333333333,FALSE
"informative_coverage_cross_fitted-r0219-s873220","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,219,"classical",12,0.299690733349216,0.424954492255932,-0.647166881172327,1.24654834787076,FALSE,0.736758090251799,0.5,FALSE
"informative_coverage_cross_fitted-r0219-s873220","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,219,"HC3",12,0.299690733349216,0.56298639648238,-0.954721129792924,1.55410259649136,FALSE,0.736758090251799,0.5,FALSE
"informative_coverage_cross_fitted-r0219-s873220","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,219,"wild_bootstrap",12,0.299690733349216,0.56298639648238,-0.939211290708017,1.53859275740645,FALSE,0.736758090251799,0.5,FALSE
"informative_coverage_cross_fitted-r0220-s873221","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,220,"classical",17,0.110164749543928,0.38473864680127,-0.709886264339921,0.930215763427777,FALSE,0.764684240738198,0.708333333333333,FALSE
"informative_coverage_cross_fitted-r0220-s873221","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,220,"HC3",17,0.110164749543928,0.587279489352844,-1.14159185115377,1.36192135024162,FALSE,0.764684240738198,0.708333333333333,FALSE
"informative_coverage_cross_fitted-r0220-s873221","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,220,"wild_bootstrap",17,0.110164749543928,0.587279489352844,-1.33442029159931,1.55474979068716,FALSE,0.764684240738198,0.708333333333333,FALSE
"informative_coverage_cross_fitted-r0221-s873222","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,221,"classical",16,-0.193380030036594,0.434314561224601,-1.12489211931998,0.738132059246792,FALSE,0.713898016413737,0.666666666666667,FALSE
"informative_coverage_cross_fitted-r0221-s873222","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,221,"HC3",16,-0.193380030036594,0.393699694969914,-1.03778189484536,0.651021834772177,FALSE,0.713898016413737,0.666666666666667,FALSE
"informative_coverage_cross_fitted-r0221-s873222","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,221,"wild_bootstrap",16,-0.193380030036594,0.393699694969914,-1.26304907758604,0.876289017512852,FALSE,0.713898016413737,0.666666666666667,FALSE
"informative_coverage_cross_fitted-r0222-s873223","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,222,"classical",11,0.340928658706928,0.358570974607605,-0.470215239873199,1.15207255728706,FALSE,0.736162267491434,0.458333333333333,FALSE
"informative_coverage_cross_fitted-r0222-s873223","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,222,"HC3",11,0.340928658706928,0.504424108050904,-0.80015795040852,1.48201526782238,FALSE,0.736162267491434,0.458333333333333,FALSE
"informative_coverage_cross_fitted-r0222-s873223","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,222,"wild_bootstrap",11,0.340928658706928,0.504424108050904,-1.38342188543552,2.06527920284937,FALSE,0.736162267491434,0.458333333333333,FALSE
"informative_coverage_cross_fitted-r0223-s873224","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,223,"classical",14,-0.232865622454748,0.339828100373145,-0.973287447429199,0.507556202519703,FALSE,0.668203400612144,0.583333333333333,FALSE
"informative_coverage_cross_fitted-r0223-s873224","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,223,"HC3",14,-0.232865622454748,0.357729306534487,-1.01229082508005,0.546559580170552,FALSE,0.668203400612144,0.583333333333333,FALSE
"informative_coverage_cross_fitted-r0223-s873224","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,223,"wild_bootstrap",14,-0.232865622454748,0.357729306534487,-0.782815568440751,0.317084323531255,FALSE,0.668203400612144,0.583333333333333,FALSE
"informative_coverage_cross_fitted-r0224-s873225","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,224,"classical",10,-0.315761003828753,0.225716036374099,-0.836263117089319,0.204741109431812,FALSE,0.734151868689048,0.416666666666667,FALSE
"informative_coverage_cross_fitted-r0224-s873225","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,224,"HC3",10,-0.315761003828753,0.285888657848706,-0.975021431035837,0.34349942337833,FALSE,0.734151868689048,0.416666666666667,FALSE
"informative_coverage_cross_fitted-r0224-s873225","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,224,"wild_bootstrap",10,-0.315761003828753,0.285888657848706,-1.1335172737045,0.501995266046995,FALSE,0.734151868689048,0.416666666666667,FALSE
"informative_coverage_cross_fitted-r0225-s873226","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,225,"classical",15,-0.0459239453454708,0.447886602308955,-1.01352412262335,0.921676231932411,FALSE,0.732232564911889,0.625,FALSE
"informative_coverage_cross_fitted-r0225-s873226","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,225,"HC3",15,-0.0459239453454708,0.378223700188192,-0.86302657236342,0.771178681672479,FALSE,0.732232564911889,0.625,FALSE
"informative_coverage_cross_fitted-r0225-s873226","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,225,"wild_bootstrap",15,-0.0459239453454708,0.378223700188192,-0.77781449240334,0.685966601712399,FALSE,0.732232564911889,0.625,FALSE
"informative_coverage_cross_fitted-r0226-s873227","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,226,"classical",10,0.371732370227903,0.340442812506936,-0.413330163213629,1.15679490366943,FALSE,0.750152865545459,0.416666666666667,FALSE
"informative_coverage_cross_fitted-r0226-s873227","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,226,"HC3",10,0.371732370227903,0.456061752503357,-0.679947916953298,1.4234126574091,FALSE,0.750152865545459,0.416666666666667,FALSE
"informative_coverage_cross_fitted-r0226-s873227","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,226,"wild_bootstrap",10,0.371732370227903,0.456061752503357,-0.475116855057772,1.21858159551358,FALSE,0.750152865545459,0.416666666666667,FALSE
"informative_coverage_cross_fitted-r0227-s873228","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,227,"classical",16,0.352634940785124,0.276391136672571,-0.240165089808676,0.945434971378924,FALSE,0.703807398268579,0.666666666666667,FALSE
"informative_coverage_cross_fitted-r0227-s873228","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,227,"HC3",16,0.352634940785124,0.261279407575656,-0.207753654410194,0.913023535980442,FALSE,0.703807398268579,0.666666666666667,FALSE
"informative_coverage_cross_fitted-r0227-s873228","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,227,"wild_bootstrap",16,0.352634940785124,0.261279407575656,-0.0767432739749585,0.782013155545206,FALSE,0.703807398268579,0.666666666666667,FALSE
"informative_coverage_cross_fitted-r0228-s873229","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,228,"classical",12,-0.0562602043060897,0.358092416691978,-0.854139830539143,0.741619421926964,FALSE,0.68795644874175,0.5,FALSE
"informative_coverage_cross_fitted-r0228-s873229","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,228,"HC3",12,-0.0562602043060897,0.367326281874109,-0.874714164305453,0.762193755693274,FALSE,0.68795644874175,0.5,FALSE
"informative_coverage_cross_fitted-r0228-s873229","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,228,"wild_bootstrap",12,-0.0562602043060897,0.367326281874109,-1.03110494230995,0.918584533697766,FALSE,0.68795644874175,0.5,FALSE
"informative_coverage_cross_fitted-r0229-s873230","informative_coverage_cross_fitted","cross_fitted","informative",FALSE,229,"classical",14,-0.344503982364392,0.351204331867942,-1.10971248647297,0.420704521744186,FALSE,0.717654293079636,0.583333333333333,FALSE
