"draw","V_C","V_W","R","eta"
1,401.96935169082,1361.67601211415,0.295201904208269,-0.0425892879773965
2,459.03593122984,1113.02930701541,0.412420345391214,0.0746291532055485
3,429.862953690826,1309.2398372836,0.328330181720335,-0.0094610104653306
4,442.065048593657,1084.05822255193,0.407787182825857,0.0699959906401909
5,484.828908673073,1201.40558060495,0.40355140387224,0.0657602116865745
6,448.886917284603,1568.74282069084,0.286144364368739,-0.0516468278169266
7,470.665599017923,1144.55958858201,0.411219829629867,0.0734286374442011
8,413.381703619201,1348.11111343041,0.30663770923697,-0.0311534829486952
9,436.675965913153,1472.35616308259,0.296583107309381,-0.0412080848762842
10,469.105603266296,1151.28566514911,0.407462385285184,0.0696711930995186
11,440.456578542175,1684.37474474527,0.261495596461692,-0.0762955957239737
12,425.245215375354,1225.47245788074,0.347005118426526,0.00921392624086081
13,463.687653496242,1308.63086028365,0.35433036738545,0.0165391751997843
14,428.325594402493,1106.6997593404,0.387029626407238,0.0492384342215721
15,516.984110309665,1417.24684983672,0.364780567597823,0.026989375412157
16,470.636521623239,1313.75347739878,0.35823807869578,0.0204468865101138
17,412.65345816264,1552.07532771269,0.265872055817529,-0.0719191363681362
18,430.437634050948,1313.24800865815,0.3277656856992,-0.0100255064864662
19,426.920879134594,820.98873687103,0.52000820469436,0.182217012508694
20,408.920881318225,1885.93280210125,0.216826856642304,-0.120964335543362
21,463.966802188984,2092.79328121072,0.221697387101974,-0.116093805083691
22,462.242408770556,924.682389556517,0.499893167633754,0.162101975448088
23,435.190337058136,1308.74132529794,0.332525861792485,-0.005265330393181
24,441.951981183461,1746.39284453373,0.253065616116549,-0.0847255760691166
25,431.749628297459,1143.117266648,0.37769495824649,0.0399037660608249
26,390.093560937984,1170.17704625801,0.333362854950388,-0.0044283372352773
27,416.820326470579,947.589578836604,0.439874325108479,0.102083132922814
28,438.492238750837,591.859960694962,0.740871604553144,0.403080412367478
29,423.19469076268,1329.47741804533,0.318316569366694,-0.0194746228189716
30,439.651969458241,1719.13193918874,0.255740679022992,-0.0820505131626737
31,444.603918083809,809.410320095462,0.549293611713985,0.21150241952832
32,412.835233107601,1236.27301293967,0.333935327218655,-0.00385586496701068
33,466.86381441405,1469.3991122051,0.317724306851823,-0.0200668853338426
34,444.031033671615,848.348787310701,0.523406221961147,0.185615029775481
35,471.067472377706,1710.12333676087,0.275458186115365,-0.0623330060703003
36,419.734174055545,792.947804701557,0.529333925343952,0.191542733158286
37,430.258859196011,1888.88262344524,0.227784857489576,-0.110006334696089
38,463.510856243106,1077.31290826358,0.430247194373822,0.0924560021881559
39,471.152139156683,1248.50324269374,0.377373580656577,0.0395823884709111
40,446.769934590705,1342.54940478378,0.332777276574533,-0.00501391561113285
41,462.577136734788,1654.03363002065,0.279666101304731,-0.0581250908809344
42,456.690792484916,920.778309473159,0.495983438995452,0.158192246809787
43,429.035382300391,1179.26361699659,0.363816347860439,0.0260251556747736
44,468.765511859097,2220.9117875857,0.211068946762933,-0.126722245422732
45,499.470841364979,1983.17414212826,0.25185425261191,-0.0859369395737556
46,479.006731995239,1460.03846677843,0.328078158825613,-0.00971303336005225
47,432.86502733993,1210.36119572015,0.357632935416756,0.0198417432310898
48,445.679929716026,961.685533075039,0.463436242293197,0.125645050107531
49,457.931719322117,2054.06114834609,0.222939672312501,-0.114851519873165
50,475.249328650501,1015.12178910964,0.468169764208628,0.130378572022962
51,457.3435761352,1146.00565787556,0.399076193902057,0.0612850017163917
52,442.295298662809,1283.08042412544,0.344713620710317,0.00692242852465114
53,446.767049337026,1775.64375369443,0.25160849320562,-0.0861826989800455
54,456.021653665962,1046.37278060608,0.435811846521679,0.0980206543360136
55,379.152016401785,1524.06281081124,0.248777159125067,-0.0890140330605989
56,455.189603200685,1427.81204697275,0.318802187000577,-0.0189890051850885
57,402.04978145884,985.905862868242,0.407797332991995,0.0700061408063289
58,427.680868456244,1417.97268236519,0.30161432147118,-0.0361768707144859
59,438.167501665281,1172.7926247231,0.373610382968374,0.0358191907827087
60,414.808624985485,1573.20156149583,0.263671633144756,-0.0741195590409098
61,432.381798691146,2175.25308987766,0.198773099416889,-0.139018092768777
62,465.782031263251,1427.87827161216,0.326205700110104,-0.0115854920755618
63,431.46738460953,2113.03617444899,0.20419308946381,-0.133598102721856
64,457.445025960186,1183.6725353865,0.386462482050257,0.0486712898645912
65,370.774683104452,886.565301530581,0.418214746803581,0.0804235546179153
66,435.958595383872,1414.15271028161,0.308282544179445,-0.0295086480062209
67,404.748893722252,1386.12563091974,0.292000151136146,-0.0457910410495193
68,496.467783651345,1689.02587593007,0.29393734621026,-0.0438538459754061
69,455.218554216164,970.288441877433,0.469157968464873,0.131366776279208
70,481.774152955053,1284.97440389881,0.374928988074217,0.0371377958885517
71,426.85213252432,1044.25606116657,0.408761939143039,0.0709707469573729
72,431.675443379838,1841.4990412772,0.234415241987007,-0.103375950198658
73,426.334569708695,1385.83671666145,0.307636942060358,-0.030154250125308
74,489.456216859926,921.508177520804,0.531146905474831,0.193355713289165
75,478.004851930829,899.336164849837,0.531508539980311,0.193717347794645
76,476.739555026486,1508.41254664487,0.316053824987659,-0.0217373671980071
77,443.249589703012,1186.33776012246,0.373628493168132,0.0358373009824667
78,457.705345698623,1398.35875309516,0.327316108749294,-0.0104750834363714
79,482.542126546222,1270.25570645691,0.379877944333084,0.0420867521474187
80,409.623547994322,1053.24385613708,0.388916152330264,0.051124960144598
81,464.241170129986,1232.33708223763,0.376716059933078,0.038924867747412
82,459.10444716586,1151.00580874425,0.398872398104353,0.0610812059186871
83,421.373464514655,1585.63560775968,0.265744199015565,-0.0720469931701011
84,409.739648356626,776.478423772573,0.527689676637605,0.18989848445194
85,464.313346395267,1358.40672542953,0.341807308299692,0.00401611611402675
86,427.904500783751,1697.21342953528,0.252121797610873,-0.0856693945747924
87,444.062664314741,2014.92018099546,0.220387223525329,-0.117403968660337
88,483.44402013999,857.032555142507,0.564090613873592,0.226299421687926
89,436.489705796613,1395.12689705472,0.312867386270092,-0.0249238059155739
90,429.141088060578,1206.88322636143,0.355577970334688,0.0177867781490223
91,441.700525955821,1055.37875126583,0.418523231992347,0.0807320398066816
92,468.32701323752,1812.56202558893,0.258378475674703,-0.0794127165109629
