"quantity","value"
"V_C_PA_acrossrun",-426.816337570781
"V_W_PA_acrossrun",-30826.0277608229
"V_W_PA_acrossrun_se",20537.2472330431
"R_PA_acrossrun",NA
"V_C_PF2",-144.573398012246
"V_W_PF2",-17476.5547070009
"V_W_PF2_se",10284.8957107528
"R_PF2",NA
"eta_transport_across_run",NA
"shares_formable",0
"eta_null_mean",NA
"eta_null_sd",NA
"eta_null_q95",NA
"eta_null_max",NA
"eta_null_negative_share",NA
"eta_null_draws",0
"eta_rank_in_null",NA
"eta_one_sided_p",NA
